หมายเลขทางหลวง,หมายเลขตอนควบคุม,ชื่อตอน,รถยนต์นั่งไม่เกิน 7 คน,รถยนต์นั่งเกิน  7 คน,รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก,รถบรรทุกขนาดกลาง,รถบรรทุกขนาดใหญ่,รถบรรทุกพ่วง,รถบรรทุกกึ่งพ่วง,รวม,รถจักรยานยนต์,จังหวัด
4110,101,ทุ่งสง - ทุ่งใหญ่,18723439,5001106,666814,368503,35095,3509548,859839,333407,175477,157930,29831158,17073951,นครศรีธรรมราช
4110,102,ทุ่งใหญ่ - บางรูป,11392765,11147999,185429,22251,22251,1950714,1416679,1461182,1208998,875225,29683493,4910163,นครศรีธรรมราช
4110,200,บางรูป - พระแสง,8600836,16031786,194981,281639,144431,5473916,3336345,1595957,751039,317747,36728677,7979785,สุราษฎร์ธานี
4111,100,ทางเข้าท่าเรือเกาะนก,32166,28224,876,411,82,80428,5338,3039,1889,712,153165,77608,สตูล
4112,100,สี่แยกละแม - สวนแตง,10090060,2951343,146306,30270,20180,20053994,807205,358197,267387,80720,34805662,15145180,ชุมพร
4112,201,สวนแตง - ไชยา,10217025,2071397,97971,125963,55984,12344406,335902,111967,97971,83976,25542562,12624324,สุราษฎร์ธานี
4112,202,ไชยา - พุนพิน,15502116,14092833,757822,744527,79771,4706474,837593,491920,119656,13295,37346007,11021659,สุราษฎร์ธานี
4113,100,ประกอบ - บ้านวัด,123790,35369,11443,6242,2081,343283,3121,0,0,0,525329,662639,สงขลา
4114,100,สมอทอง - ชายทะเล,11040754,1387761,69005,141843,38336,724549,567372,226182,65171,3834,14264807,7272330,สุราษฎร์ธานี
4115,101,สุคิริน - กรือซอ,6727269,3431429,180785,0,0,6508242,267700,382429,149495,0,17647349,10735818,นราธิวาส
4115,102,กรือซอ - แว้ง,3845667,1961588,103346,0,0,3720460,153032,218617,85459,0,10088169,6137168,นราธิวาส
4115,103,ทางเลี่ยงเมืองกรือซอ,1200668,612434,32266,0,0,1161576,47779,68255,26682,0,3149660,1916104,นราธิวาส
4116,100,โคกบก - บ่อน้ำร้อน,22187488,8045719,627633,93477,46739,14054969,1402158,734464,727787,293786,48214220,14675925,นครศรีธรรมราช
4118,100,บางเหรียง - พนม,17171382,5024158,512332,132215,0,10577174,1090771,1189932,694127,99161,36491252,16427674,สุราษฎร์ธานี
4119,100,ปากคลอง - ปากน้ำชุมพร,5388486,2194318,77847,124069,72982,8696992,627643,355178,38924,72982,17649421,6862717,ชุมพร
4121,100,แม่ขรี - โหล๊ะจังกระ,14504531,6664082,47771,17914,0,7052223,997224,316484,17914,47771,29665914,21938924,พัทลุง
4122,101,ป่าบอนเหนือ - โหล๊ะจังกระ,6689406,1840472,70787,0,82585,12718131,235958,129777,82585,23596,21873297,11609129,พัทลุง
4122,102,โหล๊ะจังกระ - บ้านนา,15203440,790393,720652,23247,11623,16296042,836887,418443,11623,46494,34358844,15842728,พัทลุง
4123,100,บ้านโพธิ์ - ห้วยยอด,17542422,3032024,319160,45594,56993,23994021,1128460,284965,22797,45594,46472030,35267222,ตรัง
4124,100,นาโยงเหนือ - ย่านตาขาว,4675889,640413,149137,17546,17546,15054082,973778,526367,184228,105273,22344259,15334811,ตรัง
4125,100,ท่าพญา - ทุ่งยาว,20467195,19376004,11324788,4846459,117967,31074353,7343417,5269172,3430860,1523734,104773949,63141591,ตรัง
4129,100,ทางเข้าอ่าวมะขาม,86965,42720,9016,0,694,83497,10957,4022,277,139,238287,100141,ภูเก็ต
4133,101,ท่าโรงช้าง - ควนสามัคคี,20935962,2084333,663899,92637,108077,33982340,2640155,2007135,1497632,1111644,65123814,23421722,สุราษฎร์ธานี
4133,102,ควนสามัคคี - พระแสง,7062408,9930686,79234,132057,36976,2958077,2429849,1310005,618027,279961,24837280,6602850,สุราษฎร์ธานี
4134,100,หลังสวน - ละแม,7635618,4229803,729818,70628,7848,17680418,3272408,714123,988785,510088,35839537,15514508,ชุมพร
4135,100,ทางเข้าสนามบินหาดใหญ่,58012215,38770245,933282,416445,308615,48489763,2197489,922127,453627,427599,150931407,18070719,สงขลา
