 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
 Type of Vehicle , Whole Kingdom , Bangkok , Regional ,Central,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Eastern,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,North Eastern,,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Northern,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Western,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Southern,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
     Total Vehicle under Land Transport Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     รวมรถโดยสาร Bus : Total ," 159,562 "," 43,226 "," 116,336 "," 16,868 ", 374 , 437 ," 1,857 "," 1,005 "," 1,104 "," 3,352 "," 2,571 "," 2,138 "," 4,030 "," 15,104 ", 363 , 794 ," 2,380 "," 6,823 "," 2,351 "," 1,133 ", 729 , 531 ," 25,916 ", -   , 977 , 648 ," 2,027 "," 1,129 "," 1,032 "," 6,018 "," 1,332 ", 205 , 657 , 188 , 453 , 670 ," 2,417 ", 613 ," 1,253 "," 2,899 ", 774 ," 1,005 "," 1,274 ", 345 ," 18,637 "," 1,903 ", 187 ," 7,240 ", 463 , 456 , 440 ," 1,167 ", 433 , 420 , 542 , 874 , 858 , 624 , 350 , 813 ," 1,391 ", 476 ," 9,199 "," 1,781 "," 1,176 "," 1,551 ", 887 ," 1,675 ", 473 , 721 , 935 ," 30,612 ", 596 , 625 ," 3,406 "," 1,616 "," 2,838 "," 2,136 "," 8,226 "," 1,138 ", 912 ," 5,984 ", 648 , 896 ," 1,128 ", 463 
     แยกเป็น - ประจำทาง Fixed Route Bus ," 78,227 "," 22,258 "," 55,969 "," 6,883 ", 113 , 208 , 755 , 195 , 312 ," 1,003 "," 1,157 ", 913 ," 2,227 "," 6,643 ", 153 , 288 , 856 ," 3,102 "," 1,188 ", 362 , 439 , 255 ," 16,995 ", -   , 634 , 467 ," 1,420 ", 620 , 628 ," 3,460 ", 829 , 123 , 488 , 52 , 261 , 426 ," 1,895 ", 393 , 955 ," 2,182 ", 429 , 722 , 772 , 239 ," 8,609 "," 1,126 ", 103 ," 1,918 ", 215 , 217 , 285 , 850 , 315 , 223 , 308 , 617 , 329 , 367 , 94 , 472 , 927 , 243 ," 5,020 "," 1,096 ", 845 , 744 , 443 ," 1,020 ", 366 , 208 , 298 ," 11,819 ", 418 , 500 ," 2,039 ", 360 ," 2,174 ", 670 , 408 , 801 , 529 ," 2,421 ", 341 , 450 , 443 , 265 
                            หมวด 1 ," 19,833 "," 11,737 "," 8,096 ", 736 , -   , 12 , 140 , -   , 49 , 106 , -   , 289 , 140 ," 1,283 ", -   , 11 , 176 , 902 , 151 , -   , 32 , 11 ," 2,155 ",, 5 , 21 , 208 , 8 , 28 , 429 , 32 , 18 , 73 , 2 , 3 , 30 , 441 , -   , 91 , 643 , 20 , 85 , -   , 18 ," 1,168 ", 253 , -   , 43 , -   , 37 , -   , 257 , 33 , 7 , 10 , 109 , 38 , 33 , 1 , 21 , 309 , 17 , 495 , 35 , 184 , 17 , 71 , 108 , 8 , 9 , 63 ," 2,259 ", 64 , 143 , 936 , 107 , 483 , 77 , 38 , 81 , 30 , 199 , 95 , 4 , -   , 2 
                            หมวด 2 ," 10,205 "," 5,903 "," 4,302 ", 513 , 31 , 52 , 96 , 67 , 2 , 158 , 107 , -   , -   , 892 , 69 , 47 , 128 , 314 , 219 , 83 , -   , 32 ," 1,325 ",, 92 , -   , 15 , -   , -   , 706 , -   , -   , 1 , -   , 1 , 69 , 119 , 1 , -   , 160 , 6 , 51 , 96 , 8 , 429 , -   , -   , 26 , -   , -   , -   , 31 , 8 , 9 , 31 , -   , 36 , 19 , 18 , 110 , 106 , 35 ," 1,011 ", 572 , 118 , 92 , 41 , -   , 34 , 30 , 124 , 132 , 49 , 26 , 1 , -   , -   , -   , 56 , -   , -   , -   , -   , -   , -   , -   
                            หมวด 3 ," 12,106 ", 91 ," 12,015 ", 947 , 12 , 23 , 106 , 40 , 44 , 149 , 379 , 132 , 62 , 908 , 49 , 52 , 231 , 244 , 169 , 79 , 17 , 67 ," 4,772 ",, 176 , 237 , 366 , 146 , 111 , 804 , 197 , 46 , 196 , 24 , 157 , 33 , 601 , 33 , 418 , 754 , 155 , 101 , 163 , 54 ," 1,413 ", 106 , 12 , 314 , 9 , 42 , 201 , 47 , 14 , 4 , 90 , 125 , 140 , 40 , 10 , 87 , 157 , 15 , 782 , 139 , 154 , 238 , 16 , 52 , 109 , 35 , 39 ," 3,193 ", 100 , 90 , 374 , 23 , 547 , 110 , 71 , 289 , 323 , 602 , 126 , 292 , 240 , 6 
                            หมวด 4 ," 34,625 "," 4,126 "," 30,499 "," 4,622 ", 68 , 120 , 409 , 80 , 210 , 586 , 670 , 482 ," 1,997 "," 3,429 ", 28 , 94 , 320 ," 1,636 ", 627 , 196 , 385 , 143 ," 8,339 ",, 346 , 166 , 814 , 441 , 461 ," 1,460 ", 591 , 59 , 215 , 26 , 73 , 287 , 671 , 352 , 435 , 610 , 243 , 473 , 462 , 154 ," 5,377 ", 737 , 89 ," 1,520 ", 206 , 137 , 81 , 508 , 257 , 193 , 162 , 378 , 112 , 264 , 56 , 253 , 251 , 173 ," 2,692 ", 348 , 383 , 382 , 311 , 858 , 211 , 129 , 70 ," 6,040 ", 190 , 236 , 705 , 218 ," 1,121 ", 481 , 243 , 410 , 171 ," 1,606 ", 118 , 140 , 155 , 246 
                            ระหว่างประเทศ , 41 , 10 , 31 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 24 ,, -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 6 , 5 , -   , 2 , -   , -   , -   , 5 , 7 , 4 , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                           ไม่ระบุ ," 1,417 ", 391 ," 1,026 ", 65 , 2 , 1 , 4 , 8 , 7 , 4 , 1 , 10 , 28 , 131 , 7 , 84 , 1 , 6 , 22 , 4 , 5 , 2 , 380 ,, 15 , 43 , 15 , 25 , 28 , 61 , 9 , -   , 3 , -   , 25 , 5 , 57 , 2 , 11 , 13 , 5 , 12 , 51 , -   , 215 , 26 , 2 , 13 , -   , -   , 3 , 7 , 3 , 10 , 15 , 5 , 3 , 11 , 9 , 1 , 104 , 3 , 40 , 2 , 6 , 15 , 4 , 2 , 4 , 5 , 2 , 195 , 15 , 5 , 23 , 12 , 23 , 2 , -   , 21 , 5 , 14 , 2 , 14 , 48 , 11 
                   - ไม่ประจำทาง Non Fixed Route Bus ," 68,610 "," 17,846 "," 50,764 "," 8,610 ", 219 , 189 , 910 , 755 , 688 ," 2,203 "," 1,181 ", 905 ," 1,560 "," 7,419 ", 190 , 465 ," 1,399 "," 3,195 ", 943 , 713 , 267 , 247 ," 5,979 ", -   , 186 , 129 , 354 , 231 , 262 ," 2,166 ", 378 , 56 , 100 , 84 , 139 , 151 , 291 , 166 , 174 , 377 , 219 , 160 , 265 , 91 ," 8,345 ", 633 , 65 ," 4,976 ", 192 , 188 , 109 , 172 , 62 , 143 , 162 , 192 , 418 , 163 , 163 , 228 , 290 , 189 ," 3,261 ", 538 , 230 , 568 , 347 , 487 , 89 , 423 , 579 ," 17,150 ", 159 , 112 ," 1,263 "," 1,198 ", 413 ," 1,393 "," 7,628 ", 249 , 261 ," 3,251 ", 271 , 284 , 540 , 128 
                           ไม่ประจำทาง ," 68,610 "," 17,846 "," 50,764 "," 8,610 ", 219 , 189 , 910 , 755 , 688 ," 2,203 "," 1,181 ", 905 ," 1,560 "," 7,419 ", 190 , 465 ," 1,399 "," 3,195 ", 943 , 713 , 267 , 247 ," 5,979 ",, 186 , 129 , 354 , 231 , 262 ," 2,166 ", 378 , 56 , 100 , 84 , 139 , 151 , 291 , 166 , 174 , 377 , 219 , 160 , 265 , 91 ," 8,345 ", 633 , 65 ," 4,976 ", 192 , 188 , 109 , 172 , 62 , 143 , 162 , 192 , 418 , 163 , 163 , 228 , 290 , 189 ," 3,261 ", 538 , 230 , 568 , 347 , 487 , 89 , 423 , 579 ," 17,150 ", 159 , 112 ," 1,263 "," 1,198 ", 413 ," 1,393 "," 7,628 ", 249 , 261 ," 3,251 ", 271 , 284 , 540 , 128 
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                   - ส่วนบุคคล Private Bus ," 12,725 "," 3,122 "," 9,603 "," 1,375 ", 42 , 40 , 192 , 55 , 104 , 146 , 233 , 320 , 243 ," 1,042 ", 20 , 41 , 125 , 526 , 220 , 58 , 23 , 29 ," 2,942 ", -   , 157 , 52 , 253 , 278 , 142 , 392 , 125 , 26 , 69 , 52 , 53 , 93 , 231 , 54 , 124 , 340 , 126 , 123 , 237 , 15 ," 1,683 ", 144 , 19 , 346 , 56 , 51 , 46 , 145 , 56 , 54 , 72 , 65 , 111 , 94 , 93 , 113 , 174 , 44 , 918 , 147 , 101 , 239 , 97 , 168 , 18 , 90 , 58 ," 1,643 ", 19 , 13 , 104 , 58 , 251 , 73 , 190 , 88 , 122 , 312 , 36 , 162 , 145 , 70 
                            ส่วนบุคคล ," 12,725 "," 3,122 "," 9,603 "," 1,375 ", 42 , 40 , 192 , 55 , 104 , 146 , 233 , 320 , 243 ," 1,042 ", 20 , 41 , 125 , 526 , 220 , 58 , 23 , 29 ," 2,942 ",, 157 , 52 , 253 , 278 , 142 , 392 , 125 , 26 , 69 , 52 , 53 , 93 , 231 , 54 , 124 , 340 , 126 , 123 , 237 , 15 ," 1,683 ", 144 , 19 , 346 , 56 , 51 , 46 , 145 , 56 , 54 , 72 , 65 , 111 , 94 , 93 , 113 , 174 , 44 , 918 , 147 , 101 , 239 , 97 , 168 , 18 , 90 , 58 ," 1,643 ", 19 , 13 , 104 , 58 , 251 , 73 , 190 , 88 , 122 , 312 , 36 , 162 , 145 , 70 
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     รวมรถบรรทุก Truck : Total ," 1,094,326 "," 141,666 "," 952,660 "," 149,030 "," 7,885 "," 4,846 "," 14,484 "," 4,908 "," 31,397 "," 21,058 "," 18,755 "," 16,575 "," 29,122 "," 128,008 "," 3,913 "," 10,777 "," 21,132 "," 47,441 "," 23,714 "," 7,664 "," 3,151 "," 10,216 "," 275,855 ", -   ," 19,376 "," 5,661 "," 18,289 "," 12,532 "," 19,236 "," 51,578 "," 16,509 "," 3,211 "," 7,836 "," 3,207 "," 5,512 "," 10,832 "," 20,586 "," 4,481 "," 8,052 "," 27,055 "," 12,292 "," 11,666 "," 13,456 "," 4,488 "," 170,318 "," 14,378 ", 973 ," 17,847 "," 6,811 "," 5,620 "," 4,201 "," 8,502 "," 5,783 "," 5,929 "," 10,292 "," 6,598 "," 13,565 "," 17,333 "," 9,148 "," 13,292 "," 23,816 "," 6,230 "," 135,759 "," 26,116 "," 17,766 "," 37,263 "," 17,774 "," 12,897 "," 3,017 "," 10,355 "," 10,571 "," 93,690 "," 6,736 "," 3,009 "," 16,415 "," 2,683 "," 12,778 "," 5,000 "," 4,062 "," 5,303 "," 6,617 "," 19,587 "," 2,020 "," 3,065 "," 3,508 "," 2,907 "
     แยกเป็น - ไม่ประจำทาง Non Fixed Route Truck ," 297,027 "," 76,749 "," 220,278 "," 53,668 "," 1,254 ", 661 ," 1,347 ", 372 ," 11,848 "," 9,589 "," 6,397 "," 5,764 "," 16,436 "," 43,630 ", 990 ," 1,300 "," 7,359 "," 20,131 "," 11,065 "," 1,084 ", 415 ," 1,286 "," 36,329 ", -   ," 1,971 ", 636 ," 2,989 ", 928 ," 1,607 "," 6,737 "," 2,159 ", 231 , 839 , 565 ," 1,637 "," 1,110 "," 3,706 ", 610 ," 1,001 "," 3,853 ", 971 ," 2,197 "," 1,427 "," 1,155 "," 28,590 "," 3,803 ", 85 ," 4,545 "," 1,250 ", 668 , 683 ," 3,031 ", 376 , 908 , 801 ," 2,628 "," 1,661 "," 1,527 ", 535 , 473 ," 5,440 ", 176 ," 34,698 "," 1,709 "," 3,327 "," 12,221 "," 4,159 "," 4,351 ", 658 ," 5,018 "," 3,255 "," 23,363 "," 1,613 ", 673 ," 3,699 ", 262 ," 1,843 ", 544 , 464 ," 1,073 "," 1,788 "," 9,512 ", 326 , 462 , 693 , 411 
                           ไม่ประจำทาง ," 297,027 "," 76,749 "," 220,278 "," 53,668 "," 1,254 ", 661 ," 1,347 ", 372 ," 11,848 "," 9,589 "," 6,397 "," 5,764 "," 16,436 "," 43,630 ", 990 ," 1,300 "," 7,359 "," 20,131 "," 11,065 "," 1,084 ", 415 ," 1,286 "," 36,329 ",," 1,971 ", 636 ," 2,989 ", 928 ," 1,607 "," 6,737 "," 2,159 ", 231 , 839 , 565 ," 1,637 "," 1,110 "," 3,706 ", 610 ," 1,001 "," 3,853 ", 971 ," 2,197 "," 1,427 "," 1,155 "," 28,590 "," 3,803 ", 85 ," 4,545 "," 1,250 ", 668 , 683 ," 3,031 ", 376 , 908 , 801 ," 2,628 "," 1,661 "," 1,527 ", 535 , 473 ," 5,440 ", 176 ," 34,698 "," 1,709 "," 3,327 "," 12,221 "," 4,159 "," 4,351 ", 658 ," 5,018 "," 3,255 "," 23,363 "," 1,613 ", 673 ," 3,699 ", 262 ," 1,843 ", 544 , 464 ," 1,073 "," 1,788 "," 9,512 ", 326 , 462 , 693 , 411 
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                   - ส่วนบุคคล Private Truck ," 797,299 "," 64,917 "," 732,382 "," 95,362 "," 6,631 "," 4,185 "," 13,137 "," 4,536 "," 19,549 "," 11,469 "," 12,358 "," 10,811 "," 12,686 "," 84,378 "," 2,923 "," 9,477 "," 13,773 "," 27,310 "," 12,649 "," 6,580 "," 2,736 "," 8,930 "," 239,526 ", -   ," 17,405 "," 5,025 "," 15,300 "," 11,604 "," 17,629 "," 44,841 "," 14,350 "," 2,980 "," 6,997 "," 2,642 "," 3,875 "," 9,722 "," 16,880 "," 3,871 "," 7,051 "," 23,202 "," 11,321 "," 9,469 "," 12,029 "," 3,333 "," 141,728 "," 10,575 ", 888 ," 13,302 "," 5,561 "," 4,952 "," 3,518 "," 5,471 "," 5,407 "," 5,021 "," 9,491 "," 3,970 "," 11,904 "," 15,806 "," 8,613 "," 12,819 "," 18,376 "," 6,054 "," 101,061 "," 24,407 "," 14,439 "," 25,042 "," 13,615 "," 8,546 "," 2,359 "," 5,337 "," 7,316 "," 70,327 "," 5,123 "," 2,336 "," 12,716 "," 2,421 "," 10,935 "," 4,456 "," 3,598 "," 4,230 "," 4,829 "," 10,075 "," 1,694 "," 2,603 "," 2,815 "," 2,496 "
                            ส่วนบุคคล ," 797,299 "," 64,917 "," 732,382 "," 95,362 "," 6,631 "," 4,185 "," 13,137 "," 4,536 "," 19,549 "," 11,469 "," 12,358 "," 10,811 "," 12,686 "," 84,378 "," 2,923 "," 9,477 "," 13,773 "," 27,310 "," 12,649 "," 6,580 "," 2,736 "," 8,930 "," 239,526 ",," 17,405 "," 5,025 "," 15,300 "," 11,604 "," 17,629 "," 44,841 "," 14,350 "," 2,980 "," 6,997 "," 2,642 "," 3,875 "," 9,722 "," 16,880 "," 3,871 "," 7,051 "," 23,202 "," 11,321 "," 9,469 "," 12,029 "," 3,333 "," 141,728 "," 10,575 ", 888 ," 13,302 "," 5,561 "," 4,952 "," 3,518 "," 5,471 "," 5,407 "," 5,021 "," 9,491 "," 3,970 "," 11,904 "," 15,806 "," 8,613 "," 12,819 "," 18,376 "," 6,054 "," 101,061 "," 24,407 "," 14,439 "," 25,042 "," 13,615 "," 8,546 "," 2,359 "," 5,337 "," 7,316 "," 70,327 "," 5,123 "," 2,336 "," 12,716 "," 2,421 "," 10,935 "," 4,456 "," 3,598 "," 4,230 "," 4,829 "," 10,075 "," 1,694 "," 2,603 "," 2,815 "," 2,496 "
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     โดยรถขนาดเล็ก Small Rural Bus , 700 , -   , 700 , 24 , 2 , 1 , 1 , -   , 4 , 2 , -   , 4 , 10 , 9 , -   , -   , -   , 3 , 1 , 3 , -   , 2 , 240 ,, -   , 11 , -   , 8 , -   , 15 , 3 , -   , 2 , -   , 3 , -   , 2 , -   , 60 , 4 , 4 , 120 , 8 , -   , 181 , 10 , 3 , -   , 11 , -   , -   , 9 , 19 , -   , -   , 1 , 1 , 44 , 3 , 28 , 49 , 3 , 28 , 1 , 3 , 13 , -   , 7 , 1 , -   , 3 , 218 , 3 , -   , 81 , 9 , 32 , 1 , -   , 19 , 1 , -   , 2 , 38 , 15 , 17 
