 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
 Type of Vehicle , Whole Kingdom , Bangkok , Regional ,Central,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Eastern,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,North Eastern,,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Northern,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Western,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Southern,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
     รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi ," 4,400 ", 662 ," 3,738 ", 41 , -   , -   , -   , -   , -   , -   , -   , 39 , 2 , 12 , -   , -   , -   , 7 , 4 , -   , 1 , -   , 71 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 1 , 50 , 2 , -   , 8 , -   , -   , -   , -   , 271 , 60 , -   , 211 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 187 , -   , -   , -   , -   , -   , -   , -   , 187 ," 3,156 ", -   , -   , 210 , 317 , 27 , 115 ," 2,458 ", -   , 2 , 26 , -   , 1 , -   , -   
     รย.10 รถยนต์บริการทัศนาจร Tour Taxi ," 5,014 "," 1,671 "," 3,343 ", 9 , -   , -   , -   , -   , -   , -   , -   , 1 , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,328 ", -   , -   , 28 , 57 , -   , 612 ," 2,623 ", -   , 7 , -   , 1 , -   , -   , -   
     รย.11 รถยนต์บริการให้เช่า Car For Hire , 78 , 59 , 19 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , -   , -   , 3 , 1 , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   
     รย.12 รถจักรยานยนต์ส่วนบุคคล Motorcycle ," 20,578,784 "," 3,551,097 "," 17,027,687 "," 1,154,852 "," 101,722 "," 85,253 "," 232,005 "," 87,153 "," 240,395 "," 248,515 "," 60,015 "," 46,940 "," 52,854 "," 2,259,666 "," 73,355 "," 150,693 "," 231,971 "," 958,574 "," 410,921 "," 210,960 "," 88,585 "," 134,607 "," 4,852,995 ",," 210,594 "," 124,139 "," 428,669 "," 245,864 "," 329,285 "," 714,548 "," 297,613 "," 77,056 "," 87,196 "," 76,195 "," 134,840 "," 146,720 "," 398,023 "," 150,539 "," 308,484 "," 433,683 "," 156,307 "," 201,407 "," 235,837 "," 95,996 "," 4,089,141 "," 441,935 "," 50,875 "," 808,756 "," 169,298 "," 142,762 "," 176,168 "," 273,070 "," 157,579 "," 154,411 "," 195,439 "," 145,977 "," 272,230 "," 210,757 "," 191,204 "," 269,345 "," 324,666 "," 104,669 "," 1,767,157 "," 295,754 "," 236,810 "," 256,587 "," 323,797 "," 195,796 "," 45,774 "," 201,387 "," 211,252 "," 2,903,876 "," 167,709 "," 56,518 "," 341,779 "," 85,623 "," 375,010 "," 135,547 "," 292,200 "," 160,933 "," 226,921 "," 436,913 "," 95,087 "," 158,298 "," 193,066 "," 178,272 "
     รย.13 รถแทรกเตอร์ Tractor ," 522,384 "," 94,557 "," 427,827 "," 40,175 "," 3,486 "," 1,131 "," 16,097 ", 851 ," 5,339 "," 1,697 ", 324 ," 1,108 "," 10,142 "," 24,487 ", 617 ," 2,471 "," 2,262 "," 4,856 "," 2,597 "," 3,093 ", 170 ," 8,421 "," 204,794 ",," 14,727 "," 4,414 "," 18,835 "," 12,298 "," 12,565 "," 36,043 "," 10,917 "," 3,437 "," 5,790 "," 2,141 "," 4,485 "," 8,535 "," 16,439 "," 4,078 "," 9,221 "," 12,283 "," 8,854 "," 7,795 "," 9,748 "," 2,189 "," 122,977 "," 8,251 ", 154 ," 4,578 "," 3,943 "," 3,175 "," 1,044 "," 1,251 "," 2,529 "," 5,999 "," 10,125 "," 3,448 "," 9,711 "," 14,002 "," 6,215 "," 20,993 "," 21,956 "," 5,603 "," 19,068 "," 6,658 "," 5,943 "," 1,469 "," 1,169 ", 191 , 90 ," 1,457 "," 2,091 "," 16,326 "," 1,441 ", 158 ," 4,510 ", 196 ," 3,182 ", 389 , 468 ," 1,367 ", 804 ," 2,569 ", 205 , 314 , 337 , 386 
     รย.14 รถบดถนน Road Roller ," 14,181 "," 3,846 "," 10,335 ", 810 , 43 , 50 , 149 , 66 , 147 , 87 , 51 , 162 , 55 ," 1,065 ", 48 , 171 , 92 , 312 , 136 , 147 , 27 , 132 ," 3,055 ",, 114 , 125 , 250 , 197 , 471 , 403 , 259 , 24 , 113 , 8 , 28 , 125 , 165 , 34 , 126 , 243 , 122 , 88 , 102 , 58 ," 2,539 ", 260 , 16 , 437 , 70 , 92 , 57 , 133 , 118 , 113 , 173 , 86 , 218 , 131 , 180 , 217 , 185 , 53 ," 1,216 ", 269 , 92 , 166 , 424 , 25 , 45 , 98 , 97 ," 1,650 ", 132 , 48 , 330 , 44 , 131 , 50 , 21 , 70 , 101 , 308 , 47 , 115 , 118 , 135 
     รย.15 รถใช้งานเกษตรกรรม Farm Vehicle ," 107,782 ", 7 ," 107,775 ", 993 , 80 , -   , 235 , -   , 135 , 535 , 7 , 1 , -   , 287 , 70 , 21 , 114 , 12 , 10 , 7 , 1 , 52 ," 73,465 ",," 18,417 ", 709 , 203 , 248 ," 1,773 "," 45,564 ", 424 , 20 , 284 , -   , 258 , 174 ," 1,360 ", 55 , 60 , 975 , 313 , 667 ," 1,953 ", 8 ," 32,536 ", 953 , 3 , 34 , 43 , 6 , 30 , 125 , 121 ," 13,215 "," 3,278 ", 19 ," 6,724 ", 789 ," 2,469 "," 2,225 "," 2,157 ", 345 , 448 , 37 , 27 , 5 , 8 , -   , 4 , 336 , 31 , 46 , 3 , 1 , 3 , 1 , 6 , 3 , -   , -   , 3 , 4 , -   , -   , 2 , 20 
     รย.16 รถพ่วง Automobile Trailer ," 4,606 "," 2,662 "," 1,944 ", 151 , 3 , -   , 12 , 6 , 59 , 24 , 35 , 5 , 7 , 480 , 4 , 5 , 7 , 422 , 26 , 12 , -   , 4 , 920 ,, 29 , -   , 30 , 7 , 9 , 699 , 10 , 1 , 5 , 2 , 10 , 10 , 49 , 1 , 3 , 42 , 4 , 5 , 4 , -   , 172 , 18 , 4 , 40 , 2 , 14 , 7 , 7 , -   , 6 , 16 , 3 , 22 , 10 , 8 , 3 , 11 , 1 , 113 , 6 , 32 , 11 , 26 , 2 , -   , 11 , 25 , 108 , 18 , 4 , 22 , 1 , 5 , 10 , 20 , 5 , 3 , 15 , 1 , 1 , -   , 3 
     รย.17 รถจักรยานยนต์สาธารณะ Public Motorcycle ," 192,709 "," 98,652 "," 94,057 "," 42,569 ", 128 , 152 ," 1,081 ", 505 ," 1,744 "," 4,138 "," 8,688 "," 8,069 "," 18,064 "," 17,205 ", 341 , 313 ," 1,848 "," 12,269 "," 1,424 ", 520 , 202 , 288 ," 5,200 ",, 57 , 154 , 208 , 303 , 652 ," 2,269 ", 926 , 71 , 21 , -   , 7 , 4 , 36 , 2 , 99 , 196 , 28 , 103 , 62 , 2 ," 4,739 ", 619 , 111 , 481 , 116 , 124 , 103 , 154 , 80 , 108 , 122 ," 1,279 ", 245 , 114 , 146 , 253 , 570 , 114 ," 13,901 ", 497 , 778 ," 4,396 "," 1,087 "," 4,705 ", 885 , 734 , 819 ," 10,443 ", 468 , 484 , 409 , 374 ," 1,337 ", 395 ," 1,772 ", 637 ," 1,038 "," 1,896 ", 306 , 565 , 38 , 724 
 ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ," 1,254,588 "," 184,892 "," 1,069,696 "," 165,922 "," 8,261 "," 5,284 "," 16,342 "," 5,913 "," 32,505 "," 24,412 "," 21,326 "," 18,717 "," 33,162 "," 143,121 "," 4,276 "," 11,571 "," 23,512 "," 54,267 "," 26,066 "," 8,800 "," 3,880 "," 10,749 "," 302,011 ", -   ," 20,353 "," 6,320 "," 20,316 "," 13,669 "," 20,268 "," 57,611 "," 17,844 "," 3,416 "," 8,495 "," 3,395 "," 5,968 "," 11,502 "," 23,005 "," 5,094 "," 9,365 "," 29,958 "," 13,070 "," 12,791 "," 14,738 "," 4,833 "," 189,136 "," 16,291 "," 1,163 "," 25,087 "," 7,285 "," 6,076 "," 4,641 "," 9,678 "," 6,235 "," 6,349 "," 10,834 "," 7,473 "," 14,424 "," 18,001 "," 9,501 "," 14,133 "," 25,256 "," 6,709 "," 144,986 "," 27,898 "," 18,945 "," 38,827 "," 18,661 "," 14,579 "," 3,491 "," 11,076 "," 11,509 "," 124,520 "," 7,335 "," 3,634 "," 19,902 "," 4,308 "," 15,648 "," 7,137 "," 12,288 "," 6,460 "," 7,530 "," 25,571 "," 2,670 "," 3,999 "," 4,651 "," 3,387 "
